Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD,Date_Unix,Spread High-Low,Spread Close-Open,delta_Open,delta_High,delta_Low,delta_Close,delta_Spread High-Low,delta_Spread Close-Open,delta_Volume BTC,delta_Volume USD,MA_Close_24,MA_V_BTC_24,MA_Close_240,MA_V_BTC_240
2017-07-12 12-AM,BTCUSD,2310.01,2310.01,2262.73,2281.8,689.68,1578504.68,1499817600000000000,47.28,-28.21,-31.44,-32.49,-37.27,-28.21,4.78,3.23,-94.45,-242314.2,2343.807917,635.010833,2517.532125,435.984583
2017-07-12 01-AM,BTCUSD,2281.8,2293.24,2260.0,2260.3,480.4,1092291.32,1499821200000000000,33.24,-21.5,-28.21,-16.77,-2.73,-21.5,-14.04,6.71,-209.28,-486213.36,2339.09625,619.835417,2516.908792,436.441333
2017-07-12 02-AM,BTCUSD,2260.3,2268.89,2250.0,2255.49,843.93,1904508.59,1499824800000000000,18.89,-4.81,-21.5,-24.35,-10.0,-4.81,-14.35,16.69,363.53,812217.27,2334.679167,620.51125,2516.274125,438.342083
2017-07-12 03-AM,BTCUSD,2255.49,2293.72,2254.0,2261.42,738.41,1679791.56,1499828400000000000,39.72,5.93,-4.81,24.83,4.0,5.93,20.83,10.74,-105.52,-224717.03,2331.684167,621.942083,2515.675917,440.582917
2017-07-12 04-AM,BTCUSD,2261.42,2322.03,2258.25,2311.11,712.24,1638386.35,1499832000000000000,63.78,49.69,5.93,28.31,4.25,49.69,24.06,43.76,-26.17,-41405.21,2331.03125,620.495417,2515.255542,442.708208
2017-07-12 05-AM,BTCUSD,2311.11,2313.98,2290.0,2300.75,727.84,1676552.58,1499835600000000000,23.98,-10.36,49.69,-8.05,31.75,-10.36,-39.8,-60.05,15.6,38166.23,2329.75125,626.127083,2514.675458,444.26425
2017-07-12 06-AM,BTCUSD,2300.75,2311.15,2293.5,2303.08,351.76,810112.09,1499839200000000000,17.65,2.33,-10.36,-2.83,3.5,2.33,-6.33,12.69,-376.08,-866440.49,2330.712917,607.439583,2514.181833,445.1515
2017-07-12 07-AM,BTCUSD,2303.08,2309.99,2291.28,2309.27,331.18,761856.17,1499842800000000000,18.71,6.19,2.33,-1.16,-2.22,6.19,1.06,3.86,-20.58,-48255.92,2329.199583,590.714167,2513.670667,445.615292
2017-07-12 08-AM,BTCUSD,2309.27,2328.62,2297.03,2323.6,472.12,1091884.2,1499846400000000000,31.59,14.33,6.19,18.63,5.75,14.33,12.88,8.14,140.94,330028.03,2329.140833,595.900417,2513.094042,446.299333
2017-07-12 09-AM,BTCUSD,2323.6,2344.69,2323.56,2337.0,444.35,1038240.12,1499850000000000000,21.13,13.4,14.33,16.07,26.53,13.4,-10.46,-0.93,-27.77,-53644.08,2328.061667,593.9825,2512.591792,447.258708
2017-07-12 10-AM,BTCUSD,2337.0,2343.52,2321.54,2338.54,247.19,577055.01,1499853600000000000,21.98,1.54,13.4,-1.17,-2.02,1.54,0.85,-11.86,-197.16,-461185.11,2327.240833,591.799583,2512.185417,447.879625
