,Close,High,Low,Open,Timestamp,Volume,_id,market,symbol,timewindow
0,0.0040965,0.0041238,0.004085,0.0041119,1553731200000,78723.31,5d80e4f0f05f7a212430b053,binance,BNB/BTC,1h
1,0.0040969,0.0041083,0.0040929,0.0041001,1553734800000,96465.5,5d80e4f0f05f7a212430b054,binance,BNB/BTC,1h
2,0.0040952,0.0041005,0.0040874,0.004099,1553738400000,85184.07,5d80e4f0f05f7a212430b055,binance,BNB/BTC,1h
3,0.004121,0.0041321,0.0040916,0.0040973,1553742000000,95212.85,5d80e4f0f05f7a212430b056,binance,BNB/BTC,1h
4,0.004107,0.0041217,0.004092,0.004121,1553745600000,104396.34,5d80e4f0f05f7a212430b057,binance,BNB/BTC,1h
5,0.0040939,0.0041087,0.0040901,0.0041066,1553749200000,74673.31,5d80e4f0f05f7a212430b058,binance,BNB/BTC,1h
6,0.0041098,0.004112,0.0040849,0.0040941,1553752800000,101641.3,5d80e4f0f05f7a212430b059,binance,BNB/BTC,1h
7,0.0041189,0.0041271,0.0040953,0.0041117,1553756400000,124768.28,5d80e4f0f05f7a212430b05a,binance,BNB/BTC,1h
8,0.00413,0.00414,0.0041111,0.0041169,1553760000000,129130.82,5d80e4f0f05f7a212430b05b,binance,BNB/BTC,1h
9,0.0041329,0.0041376,0.00411,0.00413,1553763600000,125874.55,5d80e4f0f05f7a212430b05c,binance,BNB/BTC,1h
10,0.0041431,0.004158,0.0041312,0.0041332,1553767200000,125208.18,5d80e4f0f05f7a212430b05d,binance,BNB/BTC,1h
11,0.0041412,0.0041537,0.0041383,0.0041462,1553770800000,107004.02,5d80e4f0f05f7a212430b05e,binance,BNB/BTC,1h
12,0.0041479,0.00415,0.0041312,0.0041401,1553774400000,129329.85,5d80e4f0f05f7a212430b05f,binance,BNB/BTC,1h
13,0.0041315,0.0041509,0.0041303,0.0041479,1553778000000,137152.95,5d80e4f0f05f7a212430b060,binance,BNB/BTC,1h
14,0.0041335,0.0041393,0.004125,0.0041316,1553781600000,129944.84,5d80e4f0f05f7a212430b061,binance,BNB/BTC,1h
15,0.0041155,0.0041365,0.004115,0.0041336,1553785200000,77516.05,5d80e4f0f05f7a212430b062,binance,BNB/BTC,1h
16,0.0041314,0.0041336,0.0041084,0.0041156,1553788800000,67475.58,5d80e4f0f05f7a212430b063,binance,BNB/BTC,1h
17,0.0041221,0.004139,0.0041192,0.0041314,1553792400000,55558.69,5d80e4f0f05f7a212430b064,binance,BNB/BTC,1h
18,0.004121,0.0041354,0.0041179,0.0041221,1553796000000,71279.49,5d80e4f0f05f7a212430b065,binance,BNB/BTC,1h
19,0.0041336,0.0041437,0.0041175,0.0041211,1553799600000,108507.15,5d80e4f0f05f7a212430b066,binance,BNB/BTC,1h
20,0.0041362,0.0041435,0.0041305,0.0041336,1553803200000,107001.43,5d80e4f0f05f7a212430b067,binance,BNB/BTC,1h
